id,title,description,duration,tags
361,4-eye Check,Drive expect focus offer clear benefit.,42,"['Work', 'Adminstration']"
362,Present Data Insights,Although economy read western experience white.,69,"['Work', 'Adminstration']"
363,Read Research Papers,Pay available picture stay.,30,"['Study', 'Programming']"
364,Calculate Savings,Man executive throw marriage.,31,"['Work', 'Quality Engineering']"
365,Go GP Appointment,Nearly establish cup indeed speech government.,89,"['Health & Wellbeing', 'Personal Care']"
366,Running,Air gas red personal exist choose anyone.,39,"['Health & Wellbeing', 'Personal Care']"
367,Review Process,Itself bag head affect decade early along.,110,"['Work', 'Adminstration']"
368,Attend Meeting,Might economy tax such smile.,40,"['Work', 'Data Science']"
369,Review Process,People card attack long truth.,15,"['Work', 'Adminstration']"
370,Watch Guide,Shake listen note campaign part should.,34,"['Study', 'Programming']"
371,Review Process,Laugh trip always magazine cup couple those final.,68,"['Work', 'Quality Engineering']"
372,Buy Cream,Professional same blood gas particular.,84,"['Health & Wellbeing', 'Fitness']"
373,Add Comments,Able you peace make style class.,53,"['Study', 'Programming']"
374,Attend Meeting,Respond quite computer decade.,88,"['Work', 'Quality Engineering']"
375,Gym,Policy protect watch expert owner lead.,52,"['Health & Wellbeing', 'Fitness']"
376,Laundry,General dark nothing eight to.,31,"['Home', '']"
377,Test Product,Room meet now.,26,"['Work', 'Adminstration']"
378,Evaluate Data,Card town argue drop keep.,84,"['Work', 'Data Science']"
379,Present Data Insights,Fund member me city.,62,"['Work', 'Quality Engineering']"
380,4-eye Check,Memory training research might than treatment part.,73,"['Work', 'Quality Engineering']"
381,Laundry,Blood computer this.,18,"['Home', '']"
382,Go Aunty's House,Significant happy should agency both garden law.,291,"['Friends&Family', 'Friends']"
383,Coding,Stand every new easy record.,56,"['Study', 'Programming']"
384,Attend Meeting,Will interesting ever allow political media room music.,38,"['Work', 'Quality Engineering']"
385,Attend Meeting,Action against they notice nature radio civil such.,70,"['Work', 'Quality Engineering']"
386,Calculate Savings,Action deal collection think try score.,98,"['Work', 'Data Science']"
387,Read Research Papers,Really cost well story painting try.,33,"['Study', 'Programming']"
388,Change BOM on SAP,Country indicate someone daughter artist drug decision.,82,"['Work', 'Adminstration']"
389,4-eye Check,Small artist around authority clearly.,39,"['Work', 'Data Science']"
390,Go GP Appointment,Today seven decade though reveal green grow.,25,"['Health & Wellbeing', 'Personal Care']"
391,Attend Meeting,Their himself coach.,24,"['Work', 'Adminstration']"
392,Present Data Insights,Firm take space family but down.,51,"['Work', 'Adminstration']"
393,4-eye Check,Future believe drop defense husband change class man.,108,"['Work', 'Data Science']"
394,Present Data Insights,Second himself event only method would these.,15,"['Work', 'Adminstration']"
395,Present Data Insights,Establish center type suddenly animal.,53,"['Work', 'Quality Engineering']"
396,4-eye Check,Car moment thought item manage travel teacher staff.,50,"['Work', 'Adminstration']"
397,Change Bed Sheets,This knowledge teacher appear around.,19,"['Home', '']"
398,Buy Cream,Stand cell notice brother.,61,"['Health & Wellbeing', 'Fitness']"
399,Gym,Important economy provide difference majority necessary compare.,65,"['Health & Wellbeing', 'Personal Care']"
400,Go Aunty's House,Table name before about.,230,"['Friends&Family', 'Family']"
401,Review Process,Our chair order Republican oil edge very.,28,"['Work', 'Adminstration']"
402,Calculate Savings,Develop common pay point spring.,40,"['Work', 'Adminstration']"
403,Calculate Savings,Accept dog worry through.,32,"['Work', 'Data Science']"
404,Present Data Insights,Accept down leader herself plant.,32,"['Work', 'Adminstration']"
405,Present Data Insights,Away spend writer hot relate.,79,"['Work', 'Quality Engineering']"
406,Review Process,Try floor job buy.,28,"['Work', 'Adminstration']"
407,Test Product,Factor idea increase business.,81,"['Work', 'Data Science']"
408,Analyse Data,Fear law analysis bank clear.,77,"['Work', 'Adminstration']"
409,Present Data Insights,Ok well woman that activity.,108,"['Work', 'Adminstration']"
410,4-eye Check,Just to color who rate tend however their.,28,"['Work', 'Adminstration']"
411,Present Data Insights,Three shake model use where.,61,"['Work', 'Data Science']"
412,Evaluate Data,Church machine number several campaign create officer.,100,"['Work', 'Quality Engineering']"
413,Change Bed Sheets,Hard across thousand woman evening recent.,20,"['Home', '']"
414,4-eye Check,Think yourself raise specific identify trouble.,104,"['Work', 'Quality Engineering']"
415,Present Data Insights,Red common same.,83,"['Work', 'Data Science']"
416,Attend Meeting,In fund these.,74,"['Work', 'Adminstration']"
417,Running,Stop seven create general same.,78,"['Health & Wellbeing', 'Fitness']"
418,Laundry,Officer approach someone.,17,"['Home', '']"
419,Clean Room,Institution what life guess.,18,"['Home', '']"
420,Buy Cream,Hand hard morning skin firm he.,29,"['Health & Wellbeing', 'Personal Care']"
421,Watch Guide,Blood have president lot account back radio.,48,"['Study', 'Programming']"
422,Test Product,Enjoy college modern significant.,25,"['Work', 'Adminstration']"
423,Add Comments,Standard as we modern right.,52,"['Study', 'Programming']"
424,Attend Meeting,Season everybody this tree.,28,"['Work', 'Quality Engineering']"
425,4-eye Check,Seat just because marriage drug bit manage.,17,"['Work', 'Data Science']"
426,Analyse Data,Manage system little argue name sign instead.,50,"['Work', 'Adminstration']"
427,Evaluate Data,Bad old skin produce detail.,40,"['Work', 'Data Science']"
428,Attend Meeting,Recognize door yeah all music.,78,"['Work', 'Adminstration']"
429,Present Data Insights,Most campaign successful clearly finish agree ten.,55,"['Work', 'Adminstration']"
430,Change BOM on SAP,Treat foreign front something.,46,"['Work', 'Quality Engineering']"
431,Coding,We determine play.,45,"['Study', 'Programming']"
432,Present Data Insights,Campaign election character example.,119,"['Work', 'Adminstration']"
433,Analyse Data,Clearly near forward.,94,"['Work', 'Data Science']"
434,Evaluate Data,Cold take more away idea.,110,"['Work', 'Adminstration']"
435,Present Data Insights,High when mean leave security.,41,"['Work', 'Adminstration']"
436,Review Process,Lay animal Republican simply prepare actually.,57,"['Work', 'Quality Engineering']"
437,Coding,Skin ready skin hospital.,34,"['Study', 'Programming']"
438,4-eye Check,Sure wife establish any.,114,"['Work', 'Quality Engineering']"
439,4-eye Check,If receive above way more education president.,27,"['Work', 'Quality Engineering']"
440,Analyse Data,Maintain show out forward station attack leg.,30,"['Work', 'Quality Engineering']"
441,Change Bed Sheets,Surface pick tonight without north.,23,"['Home', '']"
442,Attend Meeting,Safe money order expert.,96,"['Work', 'Quality Engineering']"
443,Analyse Data,Form standard walk result drive in training.,103,"['Work', 'Adminstration']"
444,Buy Cream,Trade medical take newspaper our.,79,"['Health & Wellbeing', 'Fitness']"
445,Attend Meeting,Not writer ability adult history.,18,"['Work', 'Quality Engineering']"
446,Watch Guide,Amount push item success hot.,40,"['Study', 'Programming']"
447,Add Comments,Example against under along police performance change.,36,"['Study', 'Programming']"
448,Change BOM on SAP,Him himself try talk ground.,89,"['Work', 'Data Science']"
449,Review Process,Person challenge doctor form authority there interview.,112,"['Work', 'Adminstration']"
450,Analyse Data,Recently away gun how much read shoulder.,69,"['Work', 'Data Science']"
451,Change BOM on SAP,Art baby tell feel agency law.,78,"['Work', 'Quality Engineering']"
452,Present Data Insights,Official so also end.,78,"['Work', 'Quality Engineering']"
453,4-eye Check,Behind eye after be design instead return.,65,"['Work', 'Adminstration']"
454,Change BOM on SAP,Sometimes nearly however wait wear.,65,"['Work', 'Data Science']"
455,Present Data Insights,Doctor collection hour particularly clear.,25,"['Work', 'Data Science']"
456,Add Comments,Whose gun yeah ago research.,44,"['Study', 'Programming']"
457,Test Product,Material yeah senior game issue occur.,56,"['Work', 'Adminstration']"
458,Present Data Insights,Fly weight he size product operation crime over.,16,"['Work', 'Data Science']"
459,Analyse Data,Time operation poor most south.,64,"['Work', 'Data Science']"
